year,type,count,calfCount,utmX,utmY
1989,OB,1.00,0.00,354995.17,7370887.90
1989,OB,1.00,0.00,354785.81,7370420.67
1989,OB,1.00,0.00,352057.72,7368089.53
1989,BB,2.00,0.00,348907.01,7364357.97
1989,BB,7.00,0.00,349558.38,7363445.56
1989,BB,15.00,0.00,351460.85,7363697.83
1989,OB,1.00,0.00,353152.65,7364634.33
1989,OB,1.00,0.00,352534.39,7362324.49
1989,BB,7.00,0.00,360567.15,7388240.38
1989,OB,3.00,0.00,364202.77,7385738.75
1989,OB,2.00,0.00,362523.03,7383187.07
1989,OB,1.00,0.00,362745.89,7382270.03
1989,OB,5.00,0.00,359565.97,7382007.14
1989,OB,7.00,0.00,358499.58,7381531.69
1989,BB,2.00,0.00,364252.23,7380434.81
1989,BB,4.00,0.00,363834.71,7379279.22
1989,BB,4.00,0.00,362767.73,7379955.77
1989,OB,4.00,0.00,359852.34,7373471.72
1989,OB,3.00,0.00,359859.08,7372774.10
1989,OB,3.00,0.00,357558.94,7369296.48
1989,OB,2.00,0.00,359699.87,7368165.67
1989,OB,1.00,0.00,355883.45,7367663.02
1989,OB,1.00,0.00,356947.72,7367208.46
1989,OB,4.00,0.00,355924.85,7363510.49
1989,OB,1.00,0.00,356774.93,7363053.82
1989,OB,1.00,0.00,357618.06,7363294.72
1989,BB,4.00,0.00,358457.85,7364919.85
1989,BB,2.00,0.00,360806.29,7363325.82
1989,BB,6.00,0.00,367348.25,7367540.16
1989,BB,5.00,0.00,367990.46,7366394.34
1989,BB,2.00,0.00,369706.41,7364793.12
1989,BB,9.00,0.00,362719.80,7362424.98
1989,BB,3.00,0.00,362730.76,7361273.36
1989,OB,1.00,0.00,362735.18,7360808.28
1989,OB,1.00,0.00,363988.57,7362902.10
1989,BB,5.00,0.00,365907.77,7362454.95
1989,BB,4.00,0.00,366973.46,7361767.14
1989,BB,5.00,0.00,367193.66,7361082.58
1989,BB,17.00,0.00,313987.03,7356573.29
1989,BB,10.00,0.00,313809.01,7353801.75
1989,BB,2.00,0.00,315484.31,7354975.34
1989,BB,3.00,0.00,315516.85,7352439.16
1989,BB,6.00,0.00,322689.00,7356217.87
1989,BB,3.00,0.00,323939.19,7358082.96
1989,OB,4.00,0.00,319767.75,7352027.88
1989,OB,1.00,0.00,320869.54,7348585.76
1989,OB,1.00,0.00,314496.88,7349424.18
1989,OB,3.00,0.00,315804.68,7346671.80
1989,BB,4.00,0.00,332361.85,7345025.26
1989,OB,1.00,0.00,328600.53,7358371.77
1989,BB,2.00,0.00,328606.07,7357906.64
