FID;SP;NO;LAT;LONG;NAME
14,382;r;40;-24.600000000000001;31.614599999999999;Ripape
14,383;ob;1;-24.610399999999998;31.614599999999999;Ripape
14,384;wl;1;-24.616700000000002;31.614599999999999;Ripape
14,385;aw;1;-24.639600000000002;31.620799999999999;Ripape
14,386;k;1;-24.639600000000002;31.620799999999999;Ripape
14,387;k;1;-24.645800000000001;31.620799999999999;Ripape
14,388;kp;2;-24.652100000000001;31.620799999999999;Ripape
14,389;kp;2;-24.656300000000002;31.620799999999999;Ripape
14,390;w;20;-24.652100000000001;31.633299999999998;Ripape
14,391;r;15;-24.652100000000001;31.633299999999998;Ripape
14,392;r;5;-24.645800000000001;31.627099999999999;Ripape
14,393;w;1;-24.645800000000001;31.627099999999999;Ripape
14,394;rl;1;-24.639600000000002;31.627099999999999;Ripape
14,395;k;1;-24.639600000000002;31.627099999999999;Ripape
14,396;k;25;-24.633299999999998;31.627099999999999;Ripape
14,397;w;3;-24.629200000000001;31.627099999999999;Ripape
14,398;wl;1;-24.622900000000001;31.620799999999999;Ripape
14,399;aw;1;-24.616700000000002;31.620799999999999;Ripape
14,400;r;8;-24.610399999999998;31.620799999999999;Ripape
14,401;w;1;-24.600000000000001;31.620799999999999;Ripape
14,402;r;2;-24.600000000000001;31.620799999999999;Ripape
14,403;w;5;-24.593800000000002;31.614599999999999;Ripape
14,404;w;9;-24.587499999999999;31.620799999999999;Ripape
14,405;k;16;-24.587499999999999;31.614599999999999;Ripape
14,406;k;6;-24.583300000000001;31.620799999999999;Ripape
14,407;v;2;-24.577100000000002;31.614599999999999;Ripape
14,408;k;1;-24.570799999999998;31.614599999999999;Ripape
14,409;kp;1;-24.564599999999999;31.614599999999999;Ripape
14,410;kp;7;-24.564599999999999;31.614599999999999;Ripape
14,411;st;1;-24.558299999999999;31.614599999999999;Kolwana
14,412;k;12;-24.564599999999999;31.620799999999999;Ripape
14,413;bh;1;-24.564599999999999;31.627099999999999;Ripape
14,414;ko;4;-24.564599999999999;31.620799999999999;Ripape
14,415;w;3;-24.570799999999998;31.627099999999999;Ripape
14,416;r;50;-24.570799999999998;31.633299999999998;Ripape
14,417;kp;5;-24.577100000000002;31.627099999999999;Ripape
14,418;w;1;-24.577100000000002;31.627099999999999;Ripape
14,419;k;25;-24.583300000000001;31.627099999999999;Ripape
14,420;kp;1;-24.593800000000002;31.627099999999999;Ripape
14,421;k;23;-24.600000000000001;31.627099999999999;Ripape
14,422;k;4;-24.616700000000002;31.633299999999998;Ripape
14,423;r;25;-24.616700000000002;31.633299999999998;Ripape
14,424;r;1;-24.616700000000002;31.633299999999998;Ripape
